1) Who wrote "Romeo and Juliet"?|a) Shakespeare|b) Dickens|c) Hemingway|d) Austen|0
2) What is the capital of France?|a) Berlin|b) Madrid|c) Paris|d) Rome|2
3) Who was the first president of the United States?|a) George Washington|b) Abraham Lincoln|c) Thomas Jefferson|d) John Adams|0
4) Which country is known as the Land of the Rising Sun?|a) China|b) Japan|c) Korea|d) Thailand|1
5) What is the largest ocean on Earth?|a) Atlantic Ocean|b) Indian Ocean|c) Arctic Ocean|d) Pacific Ocean|3
6) What is the smallest country in the world?|a) Monaco|b) Vatican City|c) San Marino|d) Liechtenstein|1
7) Who invented the telephone?|a) Thomas Edison|b) Nikola Tesla|c) Alexander Graham Bell|d) James Watt|2
8) In which year did World War II end?|a) 1939|b) 1941|c) 1945|d) 1950|2
9) Who painted the Mona Lisa?|a) Vincent van Gogh|b) Pablo Picasso|c) Leonardo da Vinci|d) Claude Monet|2
10) What is the national language of Brazil?|a) Spanish|b) French|c) Portuguese|d) Italian|2
